"source","target","action"
"ABL1","GRB2",1
"ABL1","CRK",1
"ABL1","CRKL",1
"ABL1","CBLC",1
"ABL1","CBL",1
"ABL1","CBLB",1
"ABL1","STAT5A",1
"ABL1","STAT5B",1
"AKT1","CHUK",1
"AKT1","IKBKB",1
"AKT1","IKBKG",1
"AKT1","MAP3K5",-1
"AKT1","MAP2K4",-1
"AKT1","CDKN1A",-1
"AKT1","MDM2",1
"AKT1","CDKN1B",-1
"AKT1","GSK3B",-1
"AKT1","CASP9",-1
"AKT1","BAD",-1
"AKT1","MTOR",1
"AKT1","FOXO1",-1
"AKT2","CHUK",1
"AKT2","IKBKB",1
"AKT2","IKBKG",1
"AKT2","MAP3K5",-1
"AKT2","MAP2K4",-1
"AKT2","CDKN1A",-1
"AKT2","MDM2",1
"AKT2","CDKN1B",-1
"AKT2","GSK3B",-1
"AKT2","CASP9",-1
"AKT2","BAD",-1
"AKT2","MTOR",1
"AKT2","FOXO1",-1
"AKT3","CHUK",1
"AKT3","IKBKB",1
"AKT3","IKBKG",1
"AKT3","MAP3K5",-1
"AKT3","MAP2K4",-1
"AKT3","CDKN1A",-1
"AKT3","MDM2",1
"AKT3","CDKN1B",-1
"AKT3","GSK3B",-1
"AKT3","CASP9",-1
"AKT3","BAD",-1
"AKT3","MTOR",1
"AKT3","FOXO1",-1
"AMH","AMHR2",1
"AMH","BMPR2",1
"ANAPC1","FZR1",1
"ANAPC1","ANAPC10",1
"ANAPC1","CDC26",1
"ANAPC1","ANAPC13",1
"ANAPC1","ANAPC2",1
"ANAPC1","ANAPC4",1
"ANAPC1","ANAPC5",1
"ANAPC1","ANAPC7",1
"ANAPC1","ANAPC11",1
"ANAPC1","ANAPC1",1
"ANAPC1","CDC23",1
"ANAPC1","CDC16",1
"ANAPC1","CDC27",1
"ANAPC1","CDK1",-1
"ANAPC1","PTTG2",-1
"ANAPC1","PTTG1",-1
"ANAPC1","CCNB3",-1
"ANAPC1","CCNB1",-1
"ANAPC1","CCNB2",-1
"ANAPC10","FZR1",1
"ANAPC10","ANAPC10",1
"ANAPC10","CDC26",1
"ANAPC10","ANAPC13",1
"ANAPC10","ANAPC2",1
"ANAPC10","ANAPC4",1
"ANAPC10","ANAPC5",1
"ANAPC10","ANAPC7",1
"ANAPC10","ANAPC11",1
"ANAPC10","ANAPC1",1
"ANAPC10","CDC23",1
"ANAPC10","CDC16",1
"ANAPC10","CDC27",1
"ANAPC10","CDK1",-1
"ANAPC10","PTTG2",-1
"ANAPC10","PTTG1",-1
"ANAPC10","CCNB3",-1
"ANAPC10","CCNB1",-1
"ANAPC10","CCNB2",-1
"ANAPC11","FZR1",1
"ANAPC11","ANAPC10",1
"ANAPC11","CDC26",1
"ANAPC11","ANAPC13",1
"ANAPC11","ANAPC2",1
"ANAPC11","ANAPC4",1
"ANAPC11","ANAPC5",1
"ANAPC11","ANAPC7",1
"ANAPC11","ANAPC11",1
"ANAPC11","ANAPC1",1
"ANAPC11","CDC23",1
"ANAPC11","CDC16",1
"ANAPC11","CDC27",1
"ANAPC11","CDK1",-1
"ANAPC11","PTTG2",-1
"ANAPC11","PTTG1",-1
"ANAPC11","CCNB3",-1
"ANAPC11","CCNB1",-1
"ANAPC11","CCNB2",-1
"ANAPC13","FZR1",1
"ANAPC13","ANAPC10",1
"ANAPC13","CDC26",1
"ANAPC13","ANAPC13",1
"ANAPC13","ANAPC2",1
"ANAPC13","ANAPC4",1
"ANAPC13","ANAPC5",1
"ANAPC13","ANAPC7",1
"ANAPC13","ANAPC11",1
"ANAPC13","ANAPC1",1
"ANAPC13","CDC23",1
"ANAPC13","CDC16",1
"ANAPC13","CDC27",1
"ANAPC13","CDK1",-1
"ANAPC13","PTTG2",-1
"ANAPC13","PTTG1",-1
"ANAPC13","CCNB3",-1
"ANAPC13","CCNB1",-1
"ANAPC13","CCNB2",-1
"ANAPC2","FZR1",1
"ANAPC2","ANAPC10",1
"ANAPC2","CDC26",1
"ANAPC2","ANAPC13",1
"ANAPC2","ANAPC2",1
"ANAPC2","ANAPC4",1
"ANAPC2","ANAPC5",1
"ANAPC2","ANAPC7",1
"ANAPC2","ANAPC11",1
"ANAPC2","ANAPC1",1
"ANAPC2","CDC23",1
"ANAPC2","CDC16",1
"ANAPC2","CDC27",1
"ANAPC2","CDK1",-1
"ANAPC2","PTTG2",-1
"ANAPC2","PTTG1",-1
"ANAPC2","CCNB3",-1
"ANAPC2","CCNB1",-1
"ANAPC2","CCNB2",-1
"ANAPC4","FZR1",1
"ANAPC4","ANAPC10",1
"ANAPC4","CDC26",1
"ANAPC4","ANAPC13",1
"ANAPC4","ANAPC2",1
"ANAPC4","ANAPC4",1
"ANAPC4","ANAPC5",1
"ANAPC4","ANAPC7",1
"ANAPC4","ANAPC11",1
"ANAPC4","ANAPC1",1
"ANAPC4","CDC23",1
"ANAPC4","CDC16",1
"ANAPC4","CDC27",1
"ANAPC4","CDK1",-1
"ANAPC4","PTTG2",-1
"ANAPC4","PTTG1",-1
"ANAPC4","CCNB3",-1
"ANAPC4","CCNB1",-1
"ANAPC4","CCNB2",-1
"ANAPC5","FZR1",1
"ANAPC5","ANAPC10",1
"ANAPC5","CDC26",1
"ANAPC5","ANAPC13",1
"ANAPC5","ANAPC2",1
"ANAPC5","ANAPC4",1
"ANAPC5","ANAPC5",1
"ANAPC5","ANAPC7",1
"ANAPC5","ANAPC11",1
"ANAPC5","ANAPC1",1
"ANAPC5","CDC23",1
"ANAPC5","CDC16",1
"ANAPC5","CDC27",1
"ANAPC5","CDK1",-1
"ANAPC5","PTTG2",-1
"ANAPC5","PTTG1",-1
"ANAPC5","CCNB3",-1
"ANAPC5","CCNB1",-1
"ANAPC5","CCNB2",-1
"ANAPC7","FZR1",1
"ANAPC7","ANAPC10",1
"ANAPC7","CDC26",1
"ANAPC7","ANAPC13",1
"ANAPC7","ANAPC2",1
"ANAPC7","ANAPC4",1
"ANAPC7","ANAPC5",1
"ANAPC7","ANAPC7",1
"ANAPC7","ANAPC11",1
"ANAPC7","ANAPC1",1
"ANAPC7","CDC23",1
"ANAPC7","CDC16",1
"ANAPC7","CDC27",1
"ANAPC7","CDK1",-1
"ANAPC7","PTTG2",-1
"ANAPC7","PTTG1",-1
"ANAPC7","CCNB3",-1
"ANAPC7","CCNB1",-1
"ANAPC7","CCNB2",-1
"APAF1","CASP9",1
"AR","AR",1
"AR","KLK3",1
"ARAF","MAP2K2",1
"ARAF","MAP2K1",1
"ATF4","DDIT3",1
