"source","target","action"
"ABI2","WASF1",-1
"ABI2","BRK1",-1
"ABL1","GRB2",1
"ABL1","CRK",1
"ABL1","CRKL",1
"ABL1","STAT5A",1
"ABL1","STAT5B",1
"ABL1","CBLC",1
"ABL1","CBL",1
"ABL1","CBLB",1
"ACP1","CTNNB1",1
"ADAM17","NOTCH1",1
"ADAM17","NOTCH2",1
"ADAM17","NOTCH3",1
"ADAM17","NOTCH4",1
"ADORA2A","GNAL",1
"ADORA2A","GNAS",1
"ADORA2B","GNAL",1
"ADORA2B","GNAS",1
"ADRA1A","GNA11",1
"ADRA1A","GNA15",1
"ADRA1A","GNAQ",1
"ADRA1A","GNA14",1
"ADRA1B","GNA11",1
"ADRA1B","GNA15",1
"ADRA1B","GNAQ",1
"ADRA1B","GNA14",1
"ADRA1D","GNA11",1
"ADRA1D","GNA15",1
"ADRA1D","GNAQ",1
"ADRA1D","GNA14",1
"ADRB1","GNAL",1
"ADRB1","GNAS",1
"ADRB2","GNAL",1
"ADRB2","GNAS",1
"ADRB3","GNAL",1
"ADRB3","GNAS",1
"AGRN","DAG1",1
"AGTR1","GNA11",1
"AGTR1","GNA15",1
"AGTR1","GNAQ",1
"AGTR1","GNA14",1
"AKT1","CHUK",1
"AKT1","IKBKB",1
"AKT1","IKBKG",1
"AKT1","MAP3K5",-1
"AKT1","MAP2K4",-1
"AKT1","GSK3B",-1
"AKT1","CDKN1A",-1
"AKT1","CDKN1B",-1
"AKT1","MTOR",1
"AKT1","BAD",-1
"AKT1","NOS3",1
"AKT1","MDM2",1
"AKT1","TSC2",-1
"AKT1","CASP9",-1
"AKT1","AKT1S1",-1
"AKT1","FOXO1",-1
"AKT1S1","MTOR",-1
"AKT2","CHUK",1
"AKT2","IKBKB",1
"AKT2","IKBKG",1
"AKT2","MAP3K5",-1
"AKT2","MAP2K4",-1
"AKT2","GSK3B",-1
"AKT2","CDKN1A",-1
"AKT2","CDKN1B",-1
"AKT2","MTOR",1
"AKT2","BAD",-1
"AKT2","NOS3",1
"AKT2","MDM2",1
"AKT2","TSC2",-1
"AKT2","CASP9",-1
"AKT2","AKT1S1",-1
"AKT2","FOXO1",-1
"AKT3","CHUK",1
"AKT3","IKBKB",1
"AKT3","IKBKG",1
"AKT3","MAP3K5",-1
"AKT3","MAP2K4",-1
"AKT3","GSK3B",-1
"AKT3","CDKN1A",-1
"AKT3","CDKN1B",-1
"AKT3","MTOR",1
"AKT3","BAD",-1
"AKT3","NOS3",1
"AKT3","MDM2",1
"AKT3","TSC2",-1
"AKT3","CASP9",-1
"AKT3","AKT1S1",-1
"AKT3","FOXO1",-1
