"source","target","action"
"AARS","AKT1",1
"AARS","ARF1",1
"AARS","HGS",1
"AARS","HSP90AB1",1
"AARS","TUBB",1
"AARS","UBA1",1
"AARS","UBE2I",1
"AARS2","ANAPC2",1
"AARS2","AP2M1",1
"AARS2","ARFGAP2",1
"AARS2","ARHGEF1",1
"AARS2","ATG12",-1
"AARS2","ATP6V1G2",1
"AARS2","CHD8",1
"AARS2","CHMP2B",-1
"AARS2","CUL7",1
"AARS2","FOLR1",-1
"AARS2","HGS",1
"AARS2","HSP90AB1",1
"AARS2","INPPL1",1
"AARS2","ITPR3",1
"AARS2","MCM3",1
"AARS2","NAT10",1
"AARS2","NCK1",-1
"AARS2","NCKAP1L",1
"AARS2","PPP2R5D",1
"AARS2","PPP2R5E",-1
"AARS2","STK11",1
"AARS2","SYMPK",1
"AARS2","TJAP1",1
"AARS2","TUBB",1
"AARS2","TYK2",1
"AARS2","UBA1",1
"AARS2","UBE2I",1
"ABCA2","ANAPC10",-1
"ABCA2","ARHGEF1",1
"ABCA2","ARRB2",1
"ABCA2","ATG12",-1
"ABCA2","ATP6V0C",1
"ABCA2","CD4",1
"ABCA2","DGKZ",1
"ABCA2","FLNA",1
"ABCA2","HERC1",1
"ABCA2","HGS",1
"ABCA2","HLA-C",1
"ABCA2","HLA-F",1
"ABCA2","HLA-G",1
"ABCA2","IFNGR2",1
"ABCA2","IL2RG",1
"ABCA2","IRF9",1
"ABCA2","ITGAL",1
"ABCA2","JAK3",1
"ABCA2","NCKAP1L",1
"ABCA2","NXF1",1
"ABCA2","POLR2K",-1
"ABCA2","PRKACA",1
"ABCA2","RAB5B",1
"ABCA2","SSBP1",-1
"ABCA2","STAT2",1
"ABCA2","TLN1",1
"ABCA2","UBE2Z",1
"ABCA7","ADRBK1",1
"ABCA7","ANAPC2",1
"ABCA7","AP2M1",1
"ABCA7","ARFGAP2",1
"ABCA7","ARHGEF1",1
"ABCA7","ATG12",-1
"ABCA7","ATP6V0A1",1
"ABCA7","ATP6V1G2",1
"ABCA7","BECN1",1
"ABCA7","CDC25B",1
"ABCA7","CDC34",1
"ABCA7","CDC42",-1
"ABCA7","CHD8",1
"ABCA7","CHMP2B",-1
"ABCA7","CRK",-1
"ABCA7","CTSZ",-1
"ABCA7","DGKA",1
"ABCA7","DGKZ",1
"ABCA7","E2F4",1
"ABCA7","EDNRB",-1
"ABCA7","EGLN2",1
"ABCA7","EPOR",1
"ABCA7","FOLR1",-1
"ABCA7","FZR1",1
"ABCA7","HCLS1",1
"ABCA7","HGS",1
